model,feature,importance
Random Forest,business_age,0.18872378789808716
Random Forest,employees,0.0515987311482397
Random Forest,monthly_revenue,0.03878007134299225
Random Forest,monthly_expenses,0.06629460562563137
Random Forest,profit_margin,0.04760252072569271
Random Forest,avg_account_balance,0.07431509424032615
Random Forest,transaction_frequency,0.06931394762561163
Random Forest,loan_repayment_history,0.07508293221549742
Random Forest,existing_loans,0.060131553707944235
Random Forest,collateral_value,0.06647894650437754
Random Forest,sector_encoded,0.026687926016780352
Random Forest,location_encoded,0.01778216420074007
Random Forest,revenue_per_employee,0.09124515998584833
Random Forest,balance_to_revenue_ratio,0.07002419842456599
Random Forest,expense_ratio,0.05593836033766524
Gradient Boosting,business_age,0.09205838409378199
Gradient Boosting,employees,0.0
Gradient Boosting,monthly_revenue,0.0
Gradient Boosting,monthly_expenses,0.0
Gradient Boosting,profit_margin,0.0
Gradient Boosting,avg_account_balance,0.0
Gradient Boosting,transaction_frequency,0.0
Gradient Boosting,loan_repayment_history,0.18101367658889791
Gradient Boosting,existing_loans,0.72692793931732
Gradient Boosting,collateral_value,0.0
Gradient Boosting,sector_encoded,0.0
Gradient Boosting,location_encoded,0.0
Gradient Boosting,revenue_per_employee,0.0
Gradient Boosting,balance_to_revenue_ratio,0.0
Gradient Boosting,expense_ratio,0.0
